"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 27, 2020","17,380.21","17,313.48","17,380.21","17,163.85","307.77M","3.09%"
"Apr 24, 2020","16,858.89","16,640.17","17,155.11","16,640.17","349.28M","-0.89%"
"Apr 23, 2020","17,011.11","16,925.36","17,145.44","16,778.15","392.98M","1.47%"
"Apr 22, 2020","16,765.28","16,615.00","16,770.44","16,555.34","347.50M","1.91%"
"Apr 21, 2020","16,450.85","16,811.87","16,934.52","16,450.85","401.99M","-3.59%"
"Apr 20, 2020","17,064.14","17,144.35","17,155.39","16,785.73","339.57M","0.05%"
"Apr 17, 2020","17,055.47","17,152.83","17,307.65","16,963.93","469.22M","1.71%"
"Apr 16, 2020","16,768.14","17,003.45","17,160.91","16,729.63","453.15M","0.29%"
"Apr 15, 2020","16,719.07","17,454.94","17,543.27","16,719.07","536.65M","-4.78%"
"Apr 14, 2020","17,558.43","17,821.88","17,831.01","17,507.07","443.87M","-0.36%"
"Apr 09, 2020","17,621.62","17,685.56","17,756.01","17,360.48","553.98M","1.39%"
"Apr 08, 2020","17,380.82","17,212.38","17,405.79","17,196.03","476.31M","-0.18%"
"Apr 07, 2020","17,411.72","17,587.81","17,887.12","17,177.73","679.85M","2.19%"
"Apr 06, 2020","17,039.31","16,769.13","17,053.91","16,764.81","528.13M","4.00%"
"Apr 03, 2020","16,384.35","16,742.07","16,791.08","16,384.35","547.57M","-2.67%"
"Apr 02, 2020","16,834.03","16,660.09","16,878.30","16,413.72","580.52M","1.75%"
"Apr 01, 2020","16,544.97","16,600.06","16,845.15","16,500.42","515.03M","-2.97%"
"Mar 31, 2020","17,050.94","17,096.96","17,292.15","16,694.89","698.06M","1.06%"
"Mar 30, 2020","16,872.41","16,855.94","16,925.07","16,312.90","551.31M","0.30%"
"Mar 27, 2020","16,822.59","17,039.45","17,283.44","16,666.74","590.90M","-3.15%"
"Mar 26, 2020","17,369.38","16,876.51","17,369.38","16,834.79","712.23M","0.73%"
"Mar 25, 2020","17,243.68","17,246.83","17,830.36","16,581.76","906.28M","1.74%"
"Mar 24, 2020","16,948.60","15,977.53","16,948.60","15,969.74","847.37M","8.93%"
"Mar 23, 2020","15,559.80","15,318.26","15,788.70","15,091.98","768.02M","-1.09%"
"Mar 20, 2020","15,731.85","15,772.98","16,180.17","15,616.90","1.22B","1.71%"
"Mar 19, 2020","15,466.97","15,417.20","15,844.08","15,038.08","1.02B","2.29%"
"Mar 18, 2020","15,120.48","14,985.81","15,438.23","14,791.72","796.19M","-1.27%"
"Mar 17, 2020","15,314.77","15,420.49","15,809.66","14,695.72","1.04B","2.23%"
"Mar 16, 2020","14,980.34","15,697.47","15,699.27","14,153.09","1.22B","-6.10%"
"Mar 13, 2020","15,954.29","15,108.11","17,545.44","15,106.60","1.27B","7.12%"
"Mar 12, 2020","14,894.44","17,654.04","17,659.86","14,894.44","1.54B","-16.92%"
"Mar 11, 2020","17,928.64","18,171.76","18,410.29","17,674.69","916.16M","0.33%"
"Mar 10, 2020","17,870.18","18,653.90","19,174.77","17,771.88","1.10B","-3.28%"
"Mar 09, 2020","18,475.91","20,780.87","20,780.87","18,346.40","1.27B","-11.17%"
"Mar 06, 2020","20,799.89","20,986.89","21,151.36","20,624.42","864.92M","-3.50%"
"Mar 05, 2020","21,554.88","22,011.67","22,034.94","21,362.09","772.85M","-1.78%"
"Mar 04, 2020","21,946.03","21,739.80","22,204.01","21,499.93","724.37M","0.91%"
"Mar 03, 2020","21,748.20","22,116.28","22,340.46","21,651.36","799.97M","0.43%"
"Mar 02, 2020","21,655.09","22,333.17","22,361.13","21,118.83","924.41M","-1.50%"
"Feb 28, 2020","21,984.21","22,058.99","22,334.72","21,697.94","1.05B","-3.58%"
"Feb 27, 2020","22,799.37","22,968.63","23,077.82","22,479.60","781.15M","-2.66%"
"Feb 26, 2020","23,422.54","22,961.01","23,599.85","22,637.93","737.76M","1.44%"
"Feb 25, 2020","23,090.44","23,585.59","23,630.43","23,046.19","664.95M","-1.44%"
"Feb 24, 2020","23,427.19","23,918.60","24,005.21","23,255.26","977.13M","-5.43%"
"Feb 21, 2020","24,773.15","24,979.32","25,129.98","24,670.24","638.71M","-1.22%"
"Feb 20, 2020","25,080.16","25,414.77","25,419.96","25,080.16","445.15M","-1.56%"
"Feb 19, 2020","25,477.55","25,352.69","25,483.05","25,271.72","464.70M","1.01%"
"Feb 18, 2020","25,223.51","24,985.71","25,389.46","24,969.75","737.04M","0.41%"
"Feb 17, 2020","25,120.54","24,961.76","25,120.54","24,903.00","315.46M","1.02%"
"Feb 14, 2020","24,867.01","24,942.10","24,983.12","24,831.96","341.38M","-0.10%"
"Feb 13, 2020","24,892.15","24,769.05","24,892.15","24,588.46","526.07M","0.12%"
"Feb 12, 2020","24,861.28","24,738.21","24,901.59","24,734.87","462.48M","0.70%"
"Feb 11, 2020","24,688.89","24,616.66","24,762.66","24,533.75","405.69M","0.74%"
"Feb 10, 2020","24,507.70","24,437.06","24,585.13","24,388.88","297.20M","0.12%"
"Feb 07, 2020","24,478.32","24,465.18","24,523.42","24,371.83","411.44M","-0.05%"
"Feb 06, 2020","24,490.35","24,347.99","24,513.81","24,338.09","531.89M","1.05%"
"Feb 05, 2020","24,236.63","23,815.72","24,270.46","23,745.98","564.24M","1.64%"
"Feb 04, 2020","23,844.85","23,572.77","23,900.76","23,542.06","479.89M","1.64%"
"Feb 03, 2020","23,460.01","23,297.09","23,466.34","23,218.72","363.18M","0.96%"
